Splicing_Factor,In_SpliceAidF,In_SplicingLore,In_KEGG,In_ENCODE,Source_Count
MAGOHB,False,False,True,False,1
MATR3,False,True,False,True,2
MBNL1,True,True,False,True,3
MBNL1_2,False,True,False,False,1
MBNL2,False,True,False,False,1
MSI1,False,False,False,True,1
NCBP1,False,False,True,False,1
NCBP2,False,True,True,True,3
NONO,False,False,False,True,1
NOVA1,True,False,False,True,2
NOVA2,True,False,False,False,1
PCBP1,True,True,True,True,4
PCBP2,True,True,False,True,3
PCBP3,False,False,False,True,1
PHF5A,False,False,True,False,1
PLRG1,False,False,True,False,1
PNN,False,False,False,True,1
PPIE,False,False,True,False,1
PPIG,False,True,False,True,2
PPIH,False,False,True,False,1
PPIL1,False,False,True,False,1
PPP1R8,False,True,False,True,2
PQBP1,False,False,True,False,1
PRPF18,False,False,True,False,1
PRPF19,False,False,True,False,1
PRPF3,False,False,True,False,1
PRPF31,False,False,True,False,1
PRPF38A,False,False,True,False,1
PRPF38B,False,False,True,False,1
PRPF4,False,True,True,True,3
PRPF40A,False,False,True,False,1
PRPF40B,False,False,True,False,1
PRPF6,False,False,True,True,2
PRPF8,False,True,True,True,3
PSIP1,False,False,False,True,1
PTBP1,True,True,False,True,3
PTBP1_2,False,True,False,False,1
PTBP2,True,False,False,False,1
PTBP3,False,False,False,True,1
PUF60,False,True,True,True,3
QKI,True,True,False,True,3
RAVER1,False,True,False,True,2
RBFOX2,True,True,False,True,3
RBFOX3,False,False,False,True,1
RBM10,False,True,False,False,1
RBM14,False,False,False,True,1
RBM15,False,True,False,True,2
RBM15B,False,False,False,True,1
RBM17,False,True,True,True,3
RBM22,False,True,True,True,3
RBM23,False,False,False,True,1
RBM24,False,False,False,True,1
RBM25,True,True,True,True,4
RBM39,False,True,False,True,2
RBM4,True,False,False,True,2
RBM47,False,True,False,True,2
RBM5,True,False,False,True,2
RBM6,False,False,False,True,1
RBM8A,False,False,True,False,1
RBMX,True,True,True,False,3
SAFB,False,False,False,True,1
SAFB2,False,True,False,False,1
SART1,False,False,True,False,1
SART3,False,True,False,True,2
SF1,True,True,False,True,3
SF3A1,False,False,True,False,1
SF3A2,False,False,True,False,1
SF3A3,False,True,True,True,3
SF3B1,True,True,True,True,4
SF3B2,False,False,True,False,1
SF3B3,False,False,True,False,1
SF3B4,False,True,True,True,3
SF3B5,False,False,True,False,1
SF3B6,False,False,True,False,1
SFPQ,True,True,False,True,3
SFRS1,True,False,False,False,1
SFRS11,True,False,False,False,1
SFRS13A,True,False,False,False,1
SFRS2,True,False,False,False,1
SFRS3,True,False,False,False,1
SFRS4,True,False,False,False,1
SFRS5,True,False,False,False,1
SFRS6,True,False,False,False,1
SFRS7,True,False,False,False,1
SFRS9,True,False,False,False,1
SLU7,False,False,True,False,1
SMN1,False,True,False,True,2
SMNDC1,False,True,True,True,3
SND1,False,False,False,True,1
SNRNP200,False,True,True,True,3
SNRNP27,False,False,True,False,1
SNRNP40,False,False,True,False,1
SNRNP70,False,True,True,True,3
SNRPA,False,False,True,True,2
SNRPA1,False,False,True,False,1
SNRPB,False,False,True,False,1
SNRPB2,False,False,True,False,1
SNRPC,False,True,True,False,2
SNRPD1,False,False,True,False,1
SNRPD2,False,False,True,False,1
SNRPD3,False,False,True,False,1
SNRPE,False,False,True,False,1
SNRPF,False,False,True,False,1
SNRPG,False,False,True,False,1
SNU13,False,False,True,False,1
SNW1,False,False,True,False,1
SRRM1,True,False,False,False,1
SRSF1,False,True,True,True,3
SRSF10,False,True,True,True,3
SRSF11,False,False,False,True,1
SRSF2,False,True,True,True,3
SRSF3,False,True,True,True,3
SRSF4,False,False,True,True,2
SRSF5,False,True,True,True,3
SRSF6,False,True,True,False,2
SRSF7,False,True,True,True,3
SRSF8,False,False,True,True,2
SRSF9,False,True,True,True,3
STAU1,False,True,False,True,2
SUGP2,False,True,False,True,2
SYF2,False,False,True,False,1
SYNCRIP,True,False,False,True,2
TAF15,False,True,False,False,1
TARDBP,True,True,False,True,3
TCERG1,False,False,True,False,1
TFIP11,False,False,False,True,1
THOC1,False,False,True,False,1
THOC2,False,False,True,False,1
THOC3,False,False,True,False,1
TIA1,True,True,False,True,3
TIAL1,True,False,False,True,2
TRA2A,True,False,True,True,3
TRA2A_B,False,True,False,False,1
TRA2B,True,False,True,False,2
TXNL4A,False,False,True,False,1
U2AF1,False,True,True,True,3
U2AF2,False,True,True,True,3
U2SURP,False,False,True,False,1
USP39,False,False,True,False,1
WBP11,False,False,True,False,1
XAB2,False,False,True,False,1
YBX1,True,False,False,False,1
ZCRB1,False,False,False,True,1
ZMAT2,False,False,True,False,1
ZNF326,False,False,False,True,1
ZRANB2,True,False,False,True,2
