Regulator_name	Gene stable ID	Transcript stable ID	Regulator_type
A1CF	ENSG00000148584	ENST00000373997	TF
A1CF	ENSG00000148584	ENST00000374001	TF
A1CF	ENSG00000148584	ENST00000414883	TF
A1CF	ENSG00000148584	ENST00000373993	TF
A1CF	ENSG00000148584	ENST00000373995	TF
A1CF	ENSG00000148584	ENST00000395495	TF
A1CF	ENSG00000148584	ENST00000395489	TF
A1CF	ENSG00000148584	ENST00000493415	TF
A1CF	ENSG00000148584	ENST00000473480	TF
A1CF	ENSG00000148584	ENST00000855019	TF
A1CF	ENSG00000148584	ENST00000855020	TF
A1CF	ENSG00000148584	ENST00000855021	TF
A1CF	ENSG00000148584	ENST00000855022	TF
A1CF	ENSG00000148584	ENST00000855023	TF
A1CF	ENSG00000148584	ENST00000855024	TF
A1CF	ENSG00000148584	ENST00000855025	TF
A1CF	ENSG00000148584	ENST00000855026	TF
A1CF	ENSG00000148584	ENST00000855027	TF
A1CF	ENSG00000148584	ENST00000855028	TF
A1CF	ENSG00000148584	ENST00000855029	TF
A1CF	ENSG00000148584	ENST00000855030	TF
A1CF	ENSG00000148584	ENST00000855031	TF
A1CF	ENSG00000148584	ENST00000855032	TF
A1CF	ENSG00000148584	ENST00000855033	TF
A1CF	ENSG00000148584	ENST00000855034	TF
A1CF	ENSG00000148584	ENST00000855035	TF
A1CF	ENSG00000148584	ENST00000855036	TF
A1CF	ENSG00000148584	ENST00000855037	TF
A1CF	ENSG00000148584	ENST00000855038	TF
A1CF	ENSG00000148584	ENST00000855039	TF
A1CF	ENSG00000148584	ENST00000855040	TF
A1CF	ENSG00000148584	ENST00000855041	TF
A1CF	ENSG00000148584	ENST00000855042	TF
A1CF	ENSG00000148584	ENST00000855043	TF
A1CF	ENSG00000148584	ENST00000855044	TF
A1CF	ENSG00000148584	ENST00000855045	TF
A1CF	ENSG00000148584	ENST00000855046	TF
A1CF	ENSG00000148584	ENST00000855047	TF
A1CF	ENSG00000148584	ENST00000855048	TF
A1CF	ENSG00000148584	ENST00000855049	TF
A1CF	ENSG00000148584	ENST00000855050	TF
A1CF	ENSG00000148584	ENST00000855051	TF
A1CF	ENSG00000148584	ENST00000855052	TF
A1CF	ENSG00000148584	ENST00000855053	TF
A1CF	ENSG00000148584	ENST00000855054	TF
A1CF	ENSG00000148584	ENST00000855055	TF
A1CF	ENSG00000148584	ENST00000855056	TF
A1CF	ENSG00000148584	ENST00000855057	TF
A1CF	ENSG00000148584	ENST00000855058	TF
A1CF	ENSG00000148584	ENST00000855059	TF
A1CF	ENSG00000148584	ENST00000855060	TF
A1CF	ENSG00000148584	ENST00000855061	TF
A1CF	ENSG00000148584	ENST00000855062	TF
A1CF	ENSG00000148584	ENST00000855063	TF
A1CF	ENSG00000148584	ENST00000855064	TF
A1CF	ENSG00000148584	ENST00000855065	TF
A1CF	ENSG00000148584	ENST00000855066	TF
A1CF	ENSG00000148584	ENST00000855067	TF
A1CF	ENSG00000148584	ENST00000855068	TF
A1CF	ENSG00000148584	ENST00000855069	TF
A1CF	ENSG00000148584	ENST00000855070	TF
A1CF	ENSG00000148584	ENST00000855071	TF
A1CF	ENSG00000148584	ENST00000855072	TF
A1CF	ENSG00000148584	ENST00000855073	TF
